realtime,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080
CoalPscCCS_OM,113534.441902953,113421.02088207,113307.713168902,113194.518650251,113081.437213038,112968.468744294,112855.613131163,112742.870260902,112630.240020881,112517.722298583,112405.316981601,112293.023957643,112180.843114529,112068.774340189,111956.817522666,111844.972550116,111733.239310805,111621.617693112,111510.107585526,111398.70887665,111287.421455195,111176.245209985,111065.180029955,110954.225804151,110843.382421729,110732.649771957,110622.027744213,110511.516227985,110401.115112872,110290.824288583,110180.643644938,110070.573071867,109960.612459407,109850.761697709,109741.020677032,109631.389287745,109521.867420324,109412.454965359,109303.151813546,109193.95785569,109084.872982707,108975.897085622,108867.030055566,108758.271783782,108649.622161621,108541.08108054,108432.648432108,108000,108000,108000,108000,108000,108000,108000,108000,108000,106600,105200,103800,102400,101000,99600,98200,96800,95400,94000,92600,91200,89800,88400,87000,86826,86652.348,86479.043304,86306.085217392,86133.4730469572,85961.2061008633,85789.2836886616,85617.7051212842,85446.4697110416,85275.5767716196,85105.0256180763,84934.8155668402,84764.9459357065,84595.4160438351,84426.2252117474,84257.3727613239,84088.8580158012,83920.6802997697,83752.8389391701,83585.3332612918,83418.1625947692,83251.3262695796,83084.8236170405,82918.6539698064,82752.8166618668,82587.3110285431,82422.136406486,82257.292133673,82092.7775494056,81928.5919943068,81764.7348103182,81601.2053406976,81438.0029300162,81275.1269241562,81112.5766703078,80950.3515169672,80788.4508139333,80626.8739123054,80465.6201644808,80304.6889241518,80144.0795463036,79983.7913872109,79823.8238044365,79664.1761568276,79504.847804514
CoalPscCCS_Eff,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.350231,0.3504621525,0.3506934575,0.3509249152,0.3511565256,0.3513882889,0.3516202052,0.3518522745,0.352084497,0.3523168728,0.3525494019,0.3527820845,0.3530149207,0.3532479106,0.3534810542,0.3537143517,0.3539478031,0.3541814087,0.3544151684,0.3546490824,0.3548831508,0.3551173737,0.3553517512,0.3555862833,0.3558209703,0.3560558121,0.356290809,0.3565259609,0.356761268,0.3569967305,0.3572323483,0.3574681217,0.3577040506,0.3579401353,0.3581763758,0.3584127722,0.3586493246,0.3588860332,0.3591228979,0.3593599191,0.3595970966,0.3598344307,0.3600719214,0.3603095689,0.3605473732,0.3607853345,0.3610234528,0.3612617283,0.361500161,0.3617387511,0.3619774987,0.3622164038,0.3624554667,0.3626946873,0.3629340658,0.3631736022,0.3634132968,0.3636531496,0.3638931607,0.3641333302,0.3643736582,0.3646141448,0.3648547901,0.3650955943,0.3653365574
Ocgt_Inv,52404.8697454867,52352.5172282584,52300.2170112472,52247.969042205,52195.7732689361,52143.6296392968,52091.5381011956,52039.498602593,51987.5110915015,51935.5755159855,51883.6918241614,51831.8599641972,51780.0798843129,51728.3515327801,51676.6748579222,51625.0498081141,51573.4763317823,51521.9543774049,51470.4838935114,51419.0648286827,51367.6971315512,51316.3807508004,51265.1156351652,51213.9017334318,51162.7389944374,51111.6273670703,51060.56680027,51009.557243027,50958.5986443826,50907.6909534292,50856.8341193099,50806.0280912187,50755.2728184003,50704.5682501502,50653.9143358144,50603.3110247896,50552.7582665231,50502.2560105125,50451.8042063063,50401.4028035028,50351.051751751,50300.7510007503,50250.50050025,50200.30020005,50150.15005,50100.05,50050,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
Ocgt_OM,68126.3306691327,68058.272396736,67990.2821146214,67922.3597548665,67854.5052496169,67786.7185310858,67718.9995315543,67651.3481833709,67583.764418952,67516.2481707812,67448.7993714098,67381.4179534563,67314.1038496068,67246.8569926141,67179.6773152988,67112.5647505483,67045.519231317,66978.5406906264,66911.6290615648,66844.7842772875,66778.0062710165,66711.2949760405,66644.6503257148,66578.0722534614,66511.5606927686,66445.1155771914,66378.7368403511,66312.4244159351,66246.1782376974,66179.998239458,66113.8843551029,66047.8365185843,65981.8546639204,65915.9387251952,65850.0886365587,65784.3043322265,65718.58574648,65652.9328136663,65587.3454681981,65521.8236445536,65456.3672772763,65390.9763009754,65325.650650325,65260.390260065,65195.195065,65130.065,65065,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
Ocgt_Eff,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.390546,0.3910927644,0.3916402943,0.3921885907,0.3927376547,0.3932874874,0.3938380899,0.3943894632,0.3949416085,0.3954945267,0.3960482191,0.3966026866,0.3971579303,0.3977139514,0.398270751,0.39882833,0.3993866897,0.3999458311,0.4005057552,0.4010664633,0.4016279563,0.4021902355,0.4027533018,0.4033171564,0.4038818004,0.404447235,0.4050134611,0.4055804799,0.4061482926,0.4067169002,0.4072863039,0.4078565047,0.4084275038,0.4089993023,0.4095719013,0.410145302,0.4107195054,0.4112945127,0.411870325,0.4124469435,0.4130243692,0.4136026033,0.414181647,0.4147615013,0.4153421674,0.4159236464,0.4165059395,0.4170890478,0.4176729725,0.4182577147,0.4188432755,0.4194296561,0.4200168576,0.4206048812,0.421193728,0.4217833992,0.422373896,0.4229652194,0.4235573707,0.4241503511,0.4247441616,0.4253388034,0.4259342777,0.4265305857,0.4271277285
nuclearPGT_Inv,691744.280640424,691053.227413011,690362.864548463,689673.191357106,688984.207149956,688295.911238717,687608.302935782,686921.381554228,686235.14640782,685549.596811009,684864.73207893,684180.551527403,683497.05447293,682814.240232697,682132.108124573,681450.657467106,680769.887579526,680089.797781745,679410.38739435,678731.655738612,678053.602136475,677376.225910565,676699.526384181,676023.5028813,675348.154726573,674673.481245328,673999.481763564,673326.155607956,672653.502105851,671981.520585265,671310.210374891,670639.570804087,669969.601202884,669300.300901982,668631.669232749,667963.705527222,667296.409118104,666629.779338766,665963.815523242,665298.517006236,664633.883123113,663969.913209903,663306.6066033,662643.96264066,661981.98066,661320.66,660660,660000,655000,650000,645000,640000,635000,630000,625000,620000,612000,604000,596000,588000,580000,572000,564000,556000,548000,540000,532000,524000,516000,508000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000
nuclearPGT_OM,207523.284192127,207315.968223903,207108.859364539,206901.957407132,206695.262144987,206488.773371615,206282.490880735,206076.414466268,205870.543922346,205664.879043303,205459.419623679,205254.165458221,205049.116341879,204844.272069809,204639.632437372,204435.197240132,204230.966273858,204026.939334523,203823.116218305,203619.496721584,203416.080640943,203212.86777317,203009.857915254,202807.05086439,202604.446417972,202402.044373598,202199.844529069,201997.846682387,201796.050631755,201594.45617558,201393.063112467,201191.871241226,200990.880360865,200790.090270595,200589.500769825,200389.111658167,200188.922735431,199988.93380163,199789.144656973,199589.555101871,199390.164936934,199190.973962971,198991.98198099,198793.188792198,198594.594198,198396.198,198198,198000,196500,195000,193500,192000,190500,189000,187500,186000,183600,181200,178800,176400,174000,171600,169200,166800,164400,162000,159600,157200,154800,152400,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000
nuclearPGT_Eff,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33001,0.33002,0.33003,0.33004,0.33005,0.33006,0.33007,0.33008,0.33009,0.3301,0.33011,0.33012,0.33013,0.33014,0.33015,0.33016,0.33017,0.33018,0.33019,0.3302,0.33021,0.33022,0.33023,0.33024,0.33025,0.33026,0.33027,0.33028,0.33029,0.3303,0.33031,0.33032,0.33033,0.33034,0.33035,0.33036,0.33037,0.33038,0.33039,0.3304,0.33041,0.33042,0.33043,0.33044,0.33045,0.33046,0.33047,0.33048,0.33049,0.3305,0.33051,0.33052,0.33053,0.33054,0.33055,0.33056,0.33057,0.33058,0.33059,0.3306,0.33061,0.33062,0.33063,0.33064,0.33065
Hydro_Inv,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,230142.85,233285.7,236428.55,239571.4,242714.25,245857.1,248999.95,249000,251857.14,254714.28,257571.42,260428.56,263285.7,266142.84,268999.98,271857.12,274714.26,277571.4,280428.54,283285.68,286142.82,288999.96,289000,289289,289578.289,289867.867289,290157.735156289,290447.892891445,290738.340784337,291029.079125121,291320.108204246,291611.42831245,291903.039740763,292194.942780503,292487.137723284,292779.624861007,293072.404485868,293365.476890354,293658.842367244,293952.501209611,294246.453710821,294540.700164532,294835.240864696,295130.076105561,295425.206181666,295720.631387848,296016.352019236,296312.368371255,296608.680739626,296905.289420366,297202.194709786,297499.396904496,297796.896301401,298094.693197702,298392.7878909,298691.18067879,298989.871859469,299288.861731329,299588.15059306,299887.738743653,300187.626482397,300487.814108879,300788.301922988,301089.090224911,301390.179315136,301691.569494451,301993.261063945,302295.254325009
Hydro_OM,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53714.28,54428.56,55142.84,55857.12,56571.4,57285.68,57999.96,58000,58643,59286,59929,60572,61215,61858,62501,63144,63787,64430,65073,65716,66359,67002,67003,67070.003,67137.073003,67204.210076003,67271.414286079,67338.6857003651,67406.0243860654,67473.4304104515,67540.9038408619,67608.4447447028,67676.0531894475,67743.7292426369,67811.4729718795,67879.2844448514,67947.1637292963,68015.1108930255,68083.1260039186,68151.2091299225,68219.3603390524,68287.5796993914,68355.8672790908,68424.2231463699,68492.6473695163,68561.1400168858,68629.7011569027,68698.3308580596,68767.0291889176,68835.7962181065,68904.6320143246,68973.5366463389,69042.5101829853,69111.5526931682,69180.6642458614,69249.8449101072,69319.0947550173,69388.4138497723,69457.8022636221,69527.2600658857,69596.7873259516,69666.3841132775,69736.0504973908,69805.7865478882,69875.5923344361,69945.4679267705,70015.4133946973,70085.428808092
Hydro_Eff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ccgt_Inv,136661.828216517,136525.302913603,136388.913999604,136252.661338265,136116.544793472,135980.564229243,135844.719509733,135709.010499234,135573.437062172,135437.999063109,135302.696366742,135167.528837904,135032.496341562,134897.59874282,134762.835906913,134628.207699213,134493.713985228,134359.354630598,134225.129501097,134091.038462634,133957.081381253,133823.25812313,133689.568554575,133556.012542033,133422.589952081,133289.30065143,133156.144506923,133023.121385537,132890.231154383,132757.473680702,132624.84883187,132492.356475395,132359.996478916,132227.768710206,132095.673037169,131963.709327841,131831.87745039,131700.177273117,131568.608664453,131437.17149296,131305.865627333,131174.690936396,131043.647289107,130912.734554553,130781.952601951,130651.30130065,130520.78052013,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000
Ccgt_OM,40998.5484649551,40957.590874081,40916.6741998811,40875.7984014796,40834.9634380416,40794.1692687728,40753.4158529199,40712.7031497702,40672.0311186515,40631.3997189326,40590.8089100226,40550.2586513712,40509.7489024687,40469.2796228459,40428.8507720738,40388.4623097641,40348.1141955685,40307.8063891793,40267.538850329,40227.3115387902,40187.1244143758,40146.9774369389,40106.8705663725,40066.8037626099,40026.7769856243,39986.7901954289,39946.8433520768,39906.9364156612,39867.0693463148,39827.2421042106,39787.4546495611,39747.7069426185,39707.9989436748,39668.3306130617,39628.7019111506,39589.1127983522,39549.5632351171,39510.0531819352,39470.5825993359,39431.151447888,39391.7596881998,39352.4072809189,39313.0941867321,39273.8203663658,39234.5857805852,39195.390390195,39156.234156039,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000
Ccgt_Eff,0.570849,0.571682,0.572515,0.573348,0.574181,0.575014,0.575847,0.57668,0.577513,0.578346,0.579179,0.580012,0.580845,0.581678,0.582511,0.583344,0.584177,0.58501,0.585843,0.586676,0.587509,0.588342,0.589175,0.590008,0.590841,0.591674,0.592507,0.59334,0.594173,0.595006,0.595839,0.596672,0.597505,0.598338,0.599171,0.600004,0.600837,0.60167,0.602503,0.603336,0.604169,0.605002,0.605835,0.606668,0.607501,0.608334,0.609167,0.61,0.610833,0.611666,0.612499,0.613332,0.614165,0.614998,0.615831,0.616664,0.617497,0.61833,0.619163,0.619996,0.620829,0.621662,0.622495,0.623328,0.624161,0.624994,0.625827,0.62666,0.627493,0.628326,0.629159,0.629159,0.629159,0.629159,0.629159,0.629159,0.629159,0.629159,0.629159,0.629159,0.629159,0.629159,0.629159,0.629159,0.629159,0.629159,0.629159,0.629159,0.629159,0.629159,0.629159,0.629159,0.629159,0.629159,0.629159,0.629159,0.629159,0.629159,0.629159,0.629159,0.629159,0.629159,0.629159,0.629159,0.629159,0.629159,0.629159,0.629159,0.629159,0.629159,0.629159,0.629159,0.629159,0.629159,0.629159,0.629159
