realtime,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080
Biomass_Inv,249447.18,249198,248949,248700.3,248451.9,248203.7,247955.7,247708,247460.6,247213.3,246966.4,246719.7,246473.2,246227,245981,245735.2,245489.7,245244.5,244999.5,244754.7,244510.2,244266,244022,243778.2,243534.6,243291.3,243048.3,242805.5,242562.9,242320.6,242078.5,241836.7,241595.1,241353.7,241112.6,240871.8,240631.1,240390.7,240150.6,239910.7,239671,239431.6,239192.4,238953.4,238714.7,238476.2,238238,238000,236750,235500,234250,233000,231750,230500,229250,228000,227200,226400,225600,224800,224000,223200,222400,221600,220800,220000,219200,218400,217600,216800,216000,216000,215900,215100,214300,213500,212700,211900,211100,210300,209500,208700,207900,207100,206300,205500,204700,203900,203100,202300,201500,200700,199900,199100,198300,197500,196700,195900,195100,194300,193500,192700,191900,191100,190300,189500,188700,187900,187100,186300,185500,184700,183900,183100,182300,181500
Biomass_OM,86992.08378,86905.18,86818.36,86731.63,86644.98,86558.43,86471.95,86385.57,86299.27,86213.06,86126.93,86040.89,85954.93,85869.06,85783.28,85697.58,85611.97,85526.44,85441,85355.65,85270.38,85185.19,85100.09,85015.08,84930.15,84845.3,84760.54,84675.87,84591.27,84506.77,84422.34,84338.01,84253.75,84169.58,84085.5,84001.5,83917.58,83833.74,83749.99,83666.33,83582.75,83499.25,83415.83,83332.5,83249.25,83166.08,83083,83000,82625,82250,81875,81500,81125,80750,80375,80000,79733.34,79466.68,79200.02,78933.36,78666.7,78400.04,78133.38,77866.72,77600.06,77333.4,77066.74,76800.08,76533.42,76266.76,76000,76000,76000,75882,75616,75350,75084,74818,74552,74286,74020,73754,73488,73222,72956,72690,72424,72158,71892,71626,71360,71094,70828,70562,70296,70030,69764,69498,69232,68966,68700,68434,68168,67902,67636,67370,67104,66838,66572,66306,66040,65774,65508,65242,64976,64710
Biomass_Eff,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
CcgtCCS_Inv,189224.069838254,189035.034803451,188846.188614836,188657.531083752,188469.062021731,188280.78124049,188092.688551938,187904.78376817,187717.066701469,187529.537164304,187342.194969335,187155.039929406,186968.071857548,186781.290566981,186594.69587111,186408.287583527,186222.065518009,186036.02948852,185850.179309211,185664.514794416,185479.035758658,185293.742016641,185108.633383258,184923.709673584,184738.970702881,184554.416286595,184370.046240355,184185.860379975,184001.858521453,183818.040480972,183634.406074897,183450.955119778,183267.687432345,183084.602829516,182901.701128387,182718.982146241,182536.445700541,182354.091608932,182171.919689243,181989.929759483,181808.121637845,181626.495142703,181445.05009261,181263.786306304,181082.703602701,180901.8018009,180721.08072018,180000,180000,180000,180000,180000,180000,180000,180000,180000,178600,177200,175800,174400,173000,171600,170200,168800,167400,166000,164600,163200,161800,160400,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000
CcgtCCS_OM,47306.0174595636,47258.7587008627,47211.547153709,47164.3827709381,47117.2655054326,47070.1953101225,47023.1721379845,46976.1959420425,46929.2666753671,46882.3842910761,46835.5487423337,46788.7599823514,46742.017964387,46695.3226417453,46648.6739677775,46602.0718958816,46555.5163795021,46509.00737213,46462.5448273027,46416.1286986041,46369.7589396644,46323.4355041603,46277.1583458145,46230.9274183961,46184.7426757204,46138.6040716487,46092.5115600886,46046.4650949937,46000.4646303633,45954.5101202431,45908.6015187243,45862.7387799444,45816.9218580863,45771.1507073789,45725.4252820968,45679.7455365603,45634.1114251352,45588.5229022329,45542.9799223106,45497.4824398708,45452.0304094613,45406.6237856756,45361.2625231525,45315.9465765759,45270.6759006752,45225.450450225,45180.270180045,45000,45000,45000,45000,45000,45000,45000,45000,45000,44600,44200,43800,43400,43000,42600,42200,41800,41400,41000,40600,40200,39800,39400,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000
CcgtCCS_Eff,0.412,0.414,0.415,0.417,0.419,0.421,0.423,0.424,0.426,0.428,0.43,0.432,0.434,0.435,0.437,0.439,0.441,0.443,0.445,0.447,0.449,0.451,0.452,0.454,0.456,0.458,0.46,0.462,0.464,0.466,0.468,0.47,0.472,0.474,0.476,0.478,0.48,0.482,0.485,0.487,0.489,0.491,0.493,0.495,0.497,0.499,0.501,0.52,0.52125,0.5225,0.52375,0.525,0.52625,0.5275,0.52875,0.53,0.532,0.534,0.536,0.538,0.54,0.542,0.544,0.546,0.548,0.55,0.552,0.554,0.556,0.558,0.56,0.56056,0.56112056,0.5616816806,0.5622433622,0.5628056056,0.5633684112,0.5639317796,0.5644957114,0.5650602071,0.5656252673,0.5661908926,0.5667570835,0.5673238406,0.5678911644,0.5684590556,0.5690275146,0.5695965421,0.5701661387,0.5707363048,0.5713070411,0.5718783482,0.5724502265,0.5730226767,0.5735956994,0.5741692951,0.5747434644,0.5753182079,0.5758935261,0.5764694196,0.577045889,0.5776229349,0.5782005579,0.5787787584,0.5793575372,0.5799368947,0.5805168316,0.5810973484,0.5816784458,0.5822601242,0.5828423843,0.5834252267,0.584008652,0.5845926606,0.5851772533,0.5857624305
CoalPSC_Inv,209619.478981947,209410.068913034,209200.868044989,208991.87616882,208783.093075744,208574.518557187,208366.152404782,208157.994410372,207950.044366006,207742.302063942,207534.767296645,207327.439856789,207120.319537251,206913.40613112,206706.699431689,206500.199232456,206293.905327129,206087.81750962,205881.935574046,205676.259314731,205470.788526205,205265.523003201,205060.462540661,204855.606933727,204650.955977749,204446.509468281,204242.26720108,204038.228972108,203834.394577531,203630.763813717,203427.33647724,203224.112364875,203021.091273601,202818.273000601,202615.657343257,202413.244099158,202211.033066092,202009.02404205,201807.216825225,201605.611214011,201404.207007004,201203.004003001,201002.002001,200801.2008002,200600.6002,200400.2,200200,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000
CoalPSC_OM,22010.0452931044,21988.0572358686,21966.0911447238,21944.1469977261,21922.2247729532,21900.3244485047,21878.4460025022,21856.5894130891,21834.7546584306,21812.9417167139,21791.1505661478,21769.3811849628,21747.6335514114,21725.9076437676,21704.2034403273,21682.5209194079,21660.8600593486,21639.2208385101,21617.6032352748,21596.0072280467,21574.4327952515,21552.8799153362,21531.3485667694,21509.8387280414,21488.3503776637,21466.8834941695,21445.4380561134,21424.0140420713,21402.6114306407,21381.2302004403,21359.8703301102,21338.5317983119,21317.2145837281,21295.9186650631,21274.644021042,21253.3906304116,21232.1584719397,21210.9475244153,21189.7577666486,21168.5891774712,21147.4417357354,21126.3154203151,21105.210210105,21084.126084021,21063.063021,21042.021,21021,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000
CoalPSC_Eff,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
CoalPscCCS_Inv,378448.139676508,378070.069606902,377692.377229672,377315.062167504,376938.124043461,376561.56248098,376185.377103876,375809.56753634,375434.133402937,375059.074328608,374684.38993867,374310.079858811,373936.143715096,373562.581133962,373189.39174222,372816.575167053,372444.131036017,372072.05897704,371700.358618422,371329.029588833,370958.071517316,370587.484033282,370217.266766516,369847.419347169,369477.941405763,369108.83257319,368740.092480709,368371.720759949,368003.717042906,367636.080961944,367268.812149795,366901.910239555,366535.374864691,366169.205659031,365803.402256775,365437.964292482,365072.891401081,364708.183217863,364343.839378485,363979.859518966,363616.24327569,363252.990285405,362890.10018522,362527.572612607,362165.407205402,361803.6036018,361442.16144036,360000,360000,360000,360000,360000,360000,360000,360000,360000,354800,349600,344400,339200,334000,328800,323600,318400,313200,308000,302800,297600,292400,287200,282000,281436,280873.128,280311.381744,279750.758980512,279191.257462551,278632.874947626,278075.609197731,277519.457979335,276964.419063377,276410.49022525,275857.669244799,275305.95390631,274755.341998497,274205.8313145,273657.419651871,273110.104812567,272563.884602942,272018.756833736,271474.719320069,270931.769881429,270389.906341666,269849.126528982,269309.428275925,268770.809419373,268233.267800534,267696.801264933,267161.407662403,266627.084847078,266093.830677384,265561.643016029,265030.519729997,264500.458690537,263971.457773156,263443.51485761,262916.627827895,262390.794572239,261866.012983094,261342.280957128,260819.596395214,260297.957202423,259777.361288019,259257.806565443,258739.290952312,258221.812370407,257705.368745666
