hour,nl8,nl4,de10,de5,frbelux8,frbelux4,uk6,uk3
67,18564.64,9282.32,117890.56,58945.28,122694.72,61347.36,45182.58,22591.29
68,22918.8,11459.4,142283.51,71141.755,136874.32,68437.16,53569.2,26784.6
69,26811.84,13405.92,146010,73005,140707.44,70353.72,52684.92,26342.46
70,22764.64,11382.32,142695.11,71347.555,137429.92,68714.96,53122.86,26561.43
71,22730.24,11365.12,142036.23,71018.115,137590.96,68795.48,52178.1,26089.05
72,22834.24,11417.12,140989.99,70494.995,139918.4,69959.2,53237.16,26618.58
73,20705.84,10352.92,122096.71,61048.355,131660.16,65830.08,48788.22,24394.11
74,19304.72,9652.36,112003.26,56001.63,129441.76,64720.88,48136.44,24068.22
75,22419.12,11209.56,140602.68,70301.34,144088.72,72044.36,56098.14,28049.07
76,22688.16,11344.08,140129.27,70064.635,140546.24,70273.12,55668.36,27834.18
77,23757.36,11878.68,138860.76,69430.38,136239.2,68119.6,54624.12,27312.06
78,25625.76,12812.88,138309.62,69154.81,140138.16,70069.08,55083.48,27541.74
79,23400.24,11700.12,137245.61,68622.805,140806.48,70403.24,51976.68,25988.34
80,20262.32,10131.16,120544.2,60272.1,129697.84,64848.92,46488.48,23244.24
81,18538.08,9269.04,108277.29,54138.645,125726.56,62863.28,45443.46,22721.73
82,22350,11175,137826.8,68913.4,141157.2,70578.6,52218.54,26109.27
83,22773.52,11386.76,140404.73,70202.365,144680.4,72340.2,53163.54,26581.77
84,24276,12138,139630.94,69815.47,148312.32,74156.16,53188.86,26594.43
85,25030.96,12515.48,141719.36,70859.68,149756.8,74878.4,51179.58,25589.79
86,23303.44,11651.72,140497.58,70248.79,141851.28,70925.64,51060.54,25530.27
87,20378.88,10189.44,119236.04,59618.02,125404.64,62702.32,44159.64,22079.82
88,18866,9433,109706.75,54853.375,117448.48,58724.24,43200.96,21600.48
89,22240.64,11120.32,146425.77,73212.885,131804.16,65902.08,49252.68,24626.34
90,22809.44,11404.72,149916.23,74958.115,132553.6,66276.8,48367.2,24183.6
91,22680,11340,148393.17,74196.585,136066.24,68033.12,49990.98,24995.49
92,22952.64,11476.32,140960.63,70480.315,139138.08,69569.04,50772.3,25386.15
93,22166.08,11083.04,109187.27,54593.635,136320.4,68160.2,46739.4,23369.7
94,19692.96,9846.48,106924.73,53462.365,123798.32,61899.16,44148.96,22074.48
95,17445.12,8722.56,97466.93,48733.465,117886.56,58943.28,41530.08,20765.04
96,18454.16,9227.08,99669.85,49834.925,119911.04,59955.52,41495.58,20747.79
97,23255.12,11627.56,134854.04,67427.02,132514.16,66257.08,46363.44,23181.72
98,22622.64,11311.32,136266.21,68133.105,130649.28,65324.64,46829.4,23414.7
99,22744.08,11372.04,133883.45,66941.725,125662.16,62831.08,46278.66,23139.33
100,22009.04,11004.52,130480.07,65240.035,120983.6,60491.8,44536.8,22268.4
101,18804.16,9402.08,114507.77,57253.885,109127.28,54563.64,38355.06,19177.53
102,16811.6,8405.8,104511.28,52255.64,102387.76,51193.88,39444,19722
103,21990.4,10995.2,136053.44,68026.72,116043.76,58021.88,47333.4,23666.7
104,21385.36,10692.68,137554.34,68777.17,115465.6,57732.8,45324.96,22662.48
105,21758.96,10879.48,139121.55,69560.775,113404.32,56702.16,45933.12,22966.56
106,22077.84,11038.92,134995.81,67497.905,114116.72,57058.36,47018.16,23509.08
107,23083.04,11541.52,129934.17,64967.085,113987.76,56993.88,45812.34,22906.17
108,18161.04,9080.52,110853.03,55426.515,103170.16,51585.08,39481.02,19740.51
109,17322.72,8661.36,100088.55,50044.275,98953.6,49476.8,40801.44,20400.72
110,21061.68,10530.84,128480.93,64240.465,115149.92,57574.96,46324.14,23162.07
111,21379.6,10689.8,133145.52,66572.76,115302.88,57651.44,45585.6,22792.8
112,22069.84,11034.92,133090.54,66545.27,113711.76,56855.88,45807.78,22903.89
113,21799.2,10899.6,131869.92,65934.96,114673.84,57336.92,46046.7,23023.35
114,21382.32,10691.16,131076.07,65538.035,113530.72,56765.36,45161.64,22580.82
115,18592.08,9296.04,112570.93,56285.465,101333.36,50666.68,39890.64,19945.32
116,20304.56,10152.28,101404.11,50702.055,96509.76,48254.88,39986.16,19993.08
117,17557.28,8778.64,133072.91,66536.455,115205.6,57602.8,46037.94,23018.97
118,21936.4,10968.2,134452.29,67226.145,119893.68,59946.84,45268.86,22634.43
119,22007.84,11003.92,134743.93,67371.965,121391.12,60695.56,46132.44,23066.22
120,21823.28,10911.64,133276.5,66638.25,120812.4,60406.2,46503.9,23251.95
121,21524.4,10762.2,102282.08,51141.04,103051.04,51525.52,46359.72,23179.86
122,19227.2,9613.6,105460.24,52730.12,104132.4,52066.2,41470.2,20735.1
123,17159.28,8579.64,103510.27,51755.135,97471.2,48735.6,38668.32,19334.16
124,21685.68,10842.84,130226.1,65113.05,112932.32,56466.16,39144.9,19572.45
125,19241.76,9620.88,137926.92,68963.46,112951.04,56475.52,44247,22123.5
126,21213.84,10606.92,136966.19,68483.095,114001.28,57000.64,45369.42,22684.71
127,21688.96,10844.48,137815.99,68907.995,115026.64,57513.32,46492.2,23246.1
128,21216.72,10608.36,132316.51,66158.255,101925.36,50962.68,46824.72,23412.36
129,19034.72,9517.36,114188.06,57094.03,97164.8,48582.4,39860.22,19930.11
130,16867.36,8433.68,104360.06,52180.03,92243.44,46121.72,38049.9,19024.95
131,21189.28,10594.64,133384.81,66692.405,108569.36,54284.68,42357.06,21178.53
132,22011.68,11005.84,136131.27,68065.635,110804.4,55402.2,42666.06,21333.03
133,21434,10717,135938.86,67969.43,110972.56,55486.28,44580.36,22290.18
134,16921.44,8460.72,104561.18,52280.59,97045.36,48522.68,47265.9,23632.95
135,18835.04,9417.52,117300.6,58650.3,104307.28,52153.64,44339.4,22169.7
136,17931.12,8965.56,110508.53,55254.265,99969.44,49984.72,36731.82,18365.91
137,16640.56,8320.28,103297.96,51648.98,93821.2,46910.6,36925.32,18462.66
138,21505.68,10752.84,131647.51,65823.755,110507.92,55253.96,44735.04,22367.52
139,21591.76,10795.88,137230.06,68615.03,114637.92,57318.96,44926.92,22463.46
140,21122.24,10561.12,134464.93,67232.465,117007.2,58503.6,45148.92,22574.46
141,21043.76,10521.88,133406.89,66703.445,117137.76,58568.88,43941.18,21970.59
142,20938.48,10469.24,130842.04,65421.02,114465.2,57232.6,43993.68,21996.84
143,17950.32,8975.16,110067.14,55033.57,100631.84,50315.92,38506.86,19253.43
144,15486,7743,94000.47,47000.235,92347.2,46173.6,36502.2,18251.1
145,16730.8,8365.4,97121.17,48560.585,95662,47831,38476.56,19238.28
146,21070.56,10535.28,127538.93,63769.465,111444.08,55722.04,42400.14,21200.07
147,21471.2,10735.6,131964.14,65982.07,113116.8,56558.4,42669.96,21334.98
148,21659.12,10829.56,134046.45,67023.225,112677.6,56338.8,41301.84,20650.92
149,21222.96,10611.48,131564.4,65782.2,111692.8,55846.4,43060.5,21530.25
150,17768.64,8884.32,113888.88,56944.44,98271.2,49135.6,37630.08,18815.04
151,17113.6,8556.8,101775.73,50887.865,92637.2,46318.6,36752.88,18376.44
152,20844.24,10422.12,128406.96,64203.48,110287.12,55143.56,42711.06,21355.53
153,21782.56,10891.28,136721.12,68360.56,112698.16,56349.08,43058.16,21529.08
154,22520.8,11260.4,133992.61,66996.305,113586.88,56793.44,43388.1,21694.05
155,21365.52,10682.76,110401.75,55200.875,114488.24,57244.12,43257.3,21628.65
156,21905.44,10952.72,121248.06,60624.03,113804,56902,42427.32,21213.66
157,17885.6,8942.8,110733.57,55366.785,99033.12,49516.56,34524.9,17262.45
158,16629.68,8314.84,98856.59,49428.295,91732.24,45866.12,34494.72,17247.36
159,20517.36,10258.68,128826.38,64413.19,109038.32,54519.16,42682.26,21341.13
160,21927.52,10963.76,133395.93,66697.965,111268.4,55634.2,43597.86,21798.93
161,21261.2,10630.6,133571.3,66785.65,111712,55856,43090.26,21545.13
162,21843.04,10921.52,133851.82,66925.91,113179.2,56589.6,42553.74,21276.87
163,24802.88,12401.44,132818.86,66409.43,111261.76,55630.88,43636.26,21818.13
164,18462.8,9231.4,113033.92,56516.96,97137.92,48568.96,39808.68,19904.34
165,17078.08,8539.04,100441.38,50220.69,90702.88,45351.44,37742.52,18871.26
166,20410.64,10205.32,128206.25,64103.125,107968.72,53984.36,42882.12,21441.06
167,21720.16,10860.08,131719.87,65859.935,110712.96,55356.48,42974.52,21487.26
168,21753.12,10876.56,132720.23,66360.115,110557.28,55278.64,43169.4,21584.7
169,21869.44,10934.72,134471.84,67235.92,111593.68,55796.84,41873.16,20936.58
170,20970.48,10485.24,132894.73,66447.365,108925.84,54462.92,42066.42,21033.21
171,17637.68,8818.84,110224.05,55112.025,96598.16,48299.08,39019.02,19509.51
172,17114.88,8557.44,100907.85,50453.925,90418.24,45209.12,35102.16,17551.08
173,23251.2,11625.6,129742.56,64871.28,109311.28,54655.64,42595.02,21297.51
174,21697.2,10848.6,133131.09,66565.545,111283.68,55641.84,43482,21741
175,21229.12,10614.56,135123.5,67561.75,112309.2,56154.6,43420.5,21710.25
176,21646.88,10823.44,133352.57,66676.285,112914,56457,43858.2,21929.1
177,22005.52,11002.76,131466.91,65733.455,112642.32,56321.16,43333.2,21666.6
178,17839.44,8919.72,112362.44,56181.22,98626.8,49313.4,36669.54,18334.77
179,16591.28,8295.64,99238.97,49619.485,93363.92,46681.96,36082.32,18041.16
180,21388.32,10694.16,129808.97,64904.485,112068.16,56034.08,42686.34,21343.17
181,22035.6,11017.8,132173.16,66086.58,116726.88,58363.44,43214.1,21607.05
182,23039.28,11519.64,136136.05,68068.025,117989.76,58994.88,45270.12,22635.06
183,23987.76,11993.88,141004.51,70502.255,118930,59465,45370.32,22685.16
184,22866.72,11433.36,137580.93,68790.465,118398.48,59199.24,41932.98,20966.49
185,20073.36,10036.68,116995.99,58497.995,105955.84,52977.92,36793.8,18396.9
186,17754.64,8877.32,106584.1,53292.05,96936.08,48468.04,36629.1,18314.55
187,21754.64,10877.32,136228.68,68114.34,114815.12,57407.56,42241.56,21120.78
188,22133.68,11066.84,138789,69394.5,117654.32,58827.16,41487.78,20743.89
189,21640.16,10820.08,139543.79,69771.895,113731.6,56865.8,42652.14,21326.07
190,21359.6,10679.8,138590.24,69295.12,113388.8,56694.4,42114.24,21057.12
191,20508.8,10254.4,133297.46,66648.73,113180.32,56590.16,41566.08,20783.04
192,18116.16,9058.08,112842.84,56421.42,100775.2,50387.6,36148.98,18074.49
193,17276.4,8638.2,103854.25,51927.125,93274.8,46637.4,36064.44,18032.22
194,21172.88,10586.44,133479.75,66739.875,104492.32,52246.16,44495.22,22247.61
195,21399.28,10699.64,136565.39,68282.695,99779.28,49889.64,45037.68,22518.84
196,21512.08,10756.04,136541.36,68270.68,113665.44,56832.72,43756.02,21878.01
197,21347.76,10673.88,137027.69,68513.845,116766.96,58383.48,43096.8,21548.4
198,21293.76,10646.88,135331.89,67665.945,115400.4,57700.2,40422.78,20211.39
199,17529.52,8764.76,112492.7,56246.35,101353.2,50676.6,34769.76,17384.88
200,17028.48,8514.24,102371.39,51185.695,92464.56,46232.28,34866.18,17433.09
201,21185.36,10592.68,131596.94,65798.47,110409.52,55204.76,42807.06,21403.53
202,20582.24,10291.12,138625.75,69312.875,113489.52,56744.76,41764.68,20882.34
203,21315.6,10657.8,137726.74,68863.37,113694.96,56847.48,43260.54,21630.27
204,20530.96,10265.48,134964.52,67482.26,112513.28,56256.64,42295.26,21147.63
205,20603.6,10301.8,132890.69,66445.345,111064.8,55532.4,43912.32,21956.16
206,18010.24,9005.12,115109.86,57554.93,96212.16,48106.08,35993.04,17996.52
207,15603.12,7801.56,103751.14,51875.57,90553.28,45276.64,36897.06,18448.53
208,19966,9983,130774.71,65387.355,104239.92,52119.96,41653.32,20826.66
209,19888,9944,134913.18,67456.59,106678.32,53339.16,41868.48,20934.24
210,19772.64,9886.32,135732.44,67866.22,106712.48,53356.24,41815.68,20907.84
211,19747.36,9873.68,136776.81,68388.405,105578.8,52789.4,41600.16,20800.08
212,18743.92,9371.96,129382.77,64691.385,103599.2,51799.6,40077.6,20038.8
213,16659.2,8329.6,111069.98,55534.99,92623.68,46311.84,35766.3,17883.15
214,15508.32,7754.16,99403.16,49701.58,87606.08,43803.04,34626.36,17313.18
215,19943.92,9971.96,128416.24,64208.12,101667.76,50833.88,40082.34,20041.17
216,20151.68,10075.84,132305.72,66152.86,102277.28,51138.64,39588.24,19794.12
217,20247.52,10123.76,130763.33,65381.665,103138.48,51569.24,41895.72,20947.86
218,20401.84,10200.92,133324.05,66662.025,104815.92,52407.96,41508.12,20754.06
219,20022.64,10011.32,131501.15,65750.575,104299.76,52149.88,41473.2,20736.6
220,17125.12,8562.56,115767.26,57883.63,94303.12,47151.56,35885.34,17942.67
221,16062.64,8031.32,103444.41,51722.205,86863.68,43431.84,35377.74,17688.87
222,20673.92,10336.96,130280.12,65140.06,97886.64,48943.32,42166.62,21083.31
223,21115.76,10557.88,135299.86,67649.93,101164.8,50582.4,43298.4,21649.2
224,20944.08,10472.04,135189.98,67594.99,101900.4,50950.2,43037.94,21518.97
225,20983.52,10491.76,137293.69,68646.845,101091.04,50545.52,44493.78,22246.89
226,21354.32,10677.16,135623.77,67811.885,99121.6,49560.8,44554.26,22277.13
227,18645.92,9322.96,113650.24,56825.12,87015.28,43507.64,36820.08,18410.04
228,16739.2,8369.6,104269.05,52134.525,84105.04,42052.52,36864,18432
229,21440.48,10720.24,130513.04,65256.52,96376.8,48188.4,42476.4,21238.2
230,21472.48,10736.24,132099.08,66049.54,99681.68,49840.84,43675.62,21837.81
231,21001.36,10500.68,131052.53,65526.265,100883.76,50441.88,43830.24,21915.12
232,21319.44,10659.72,131602.54,65801.27,102349.44,51174.72,44174.4,22087.2
233,21205.76,10602.88,130009.46,65004.73,103174.56,51587.28,42713.46,21356.73
234,18060.8,9030.4,112096.02,56048.01,93138.88,46569.44,38518.26,19259.13
235,17251.12,8625.56,104688.08,52344.04,86291.2,43145.6,36247.8,18123.9
236,21917.92,10958.96,134377.29,67188.645,102437.68,51218.84,44366.7,22183.35
237,21615.36,10807.68,142642.07,71321.035,105165.92,52582.96,43457.76,21728.88
238,22396.24,11198.12,141497.17,70748.585,107356.4,53678.2,42748.62,21374.31
239,22209.36,11104.68,138182.71,69091.355,108835.04,54417.52,42121.5,21060.75
240,21404.8,10702.4,134162.03,67081.015,106463.28,53231.64,40777.68,20388.84
241,19345.28,9672.64,113917.06,56958.53,95565.04,47782.52,37002.72,18501.36
242,17758.56,8879.28,103920.87,51960.435,91987.36,45993.68,37298.1,18649.05
243,25677.52,12838.76,136747.73,68373.865,110412.72,55206.36,39660.18,19830.09
244,22488.48,11244.24,140437.39,70218.695,111228.4,55614.2,43385.22,21692.61
245,21842.88,10921.44,138222.22,69111.11,110425.44,55212.72,43988.82,21994.41
246,26273.44,13136.72,137522.41,68761.205,110757.36,55378.68,44452.92,22226.46
247,21608.88,10804.44,135908.88,67954.44,109375.68,54687.84,43571.52,21785.76
