,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080
OandMCost,43800,42048,40366.08,38751.4368,37201.379328,35713.32415488,34284.7911886848,32913.3995411374,31596.8635594919,30332.9890171122,29119.6694564277,27954.8826781706,26836.6873710438,25763.219876202,24732.691081154,23743.3834379078,22793.6481003915,21881.9021763758,21006.6260893208,20166.361045748,19359.706603918,18585.3183397613,17841.9056061709,17128.229381924,16443.1002066471,15785.3761983812,15153.9611504459,14547.8027044281,13965.890596251,13407.2549724009,12870.9647735049,12356.1261825647,11861.8811352621,11387.4058898516,10931.9096542576,10494.6332680873,10074.8479373638,9671.8540198692,9284.9798590745,8913.5806647115,8557.037438123,8214.7559405981,7886.1657029742,7570.7190748552,7267.890311861,6977.1746993866,6698.0877114111,6430.1642029547,6172.9576348365,5926.039329443,5688.9977562653,5461.4378460147,5242.9803321741,5033.2611188871,4831.9306741316,4638.6534471664,4453.1073092797,4274.9830169085,4103.9836962322,3939.8243483829,3782.2313744476,3630.9421194697,3485.7044346909,3346.2762573033,3212.4252070111,3083.9281987307
OandMCost50,31500,31050,30600,30150,29700,29250,28800,28350,27900,27450,27000,26550,26100,25650,25200,24750,24300,23850,23400,22950,22500,22050,21600,21150,20700,20250,19800,19350,18900,18450,18000,17550,17100,16650,16200,15750,15300,14850,14400,13950,13500,13050,12600,12150,11700,11250,10800,10350,9900,9450,9000,8550,8100,7650,7200,6750,6300,5850,5400,4950,4500,4050,3600,3150,2700,2250
OandMCost20,31500,31320,31140,30960,30780,30600,30420,30240,30060,29880,29700,29520,29340,29160,28980,28800,28620,28440,28260,28080,27900,27720,27540,27360,27180,27000,26820,26640,26460,26280,26100,25920,25740,25560,25380,25200,25020,24840,24660,24480,24300,24120,23940,23760,23580,23400,23220,23040,22860,22680,22500,22320,22140,21960,21780,21600,21420,21240,21060,20880,20700,20520,20340,20160,19980,19800
