,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080
CapitalCost,125800,120768,115937.28,111299.7888,106847.797248,102573.88535808,98470.9299437568,94532.0927460065,90750.8090361663,87120.7766747196,83635.9456077308,80290.5077834216,77078.8874720847,73995.7319732013,71035.9026942733,68194.4665865023,65466.6879230422,62848.0204061205,60334.0995898757,57920.7356062807,55603.9061820295,53379.7499347483,51244.5599373583,49194.777539864,47226.9864382694,45337.9069807387,43524.3907015091,41783.4150734488,40112.0784705108,38507.5953316904,36967.2915184227,35488.5998576858,34069.0558633784,32706.2936288433,31398.0418836895,30142.1202083419,28936.4354000083,27778.9779840079,26667.8188646476,25601.1061100617,24577.0618656592,23593.9793910329,22650.2202153916,21744.2114067759,20874.4429505049,20039.4652324847,19237.8866231853,18468.3711582579,17729.6363119275,17020.4508594504,16339.6328250724,15686.0475120695,15058.6056115867,14456.2613871233,13878.0109316383,13322.8904943728,12789.9748745979,12278.375879614,11787.2408444294,11315.7512106522,10863.1211622262,10428.5963157371,10011.4524631076,9610.9943645833,9226.55459,8857.4924064
CapitalCost50,125800,124003,122206,120409,118612,116815,115018,113221,111424,109627,107830,106033,104236,102439,100642,98845,97048,95251,93454,91657,89860,88063,86266,84469,82672,80875,79078,77281,75484,73687,71890,70093,68296,66499,64702,62905,61108,59311,57514,55717,53920,52123,50326,48529,46732,44935,43138,41341,39544,37747,35950,34153,32356,30559,28762,26965,25168,23371,21574,19777,17980,16183,14386,12589,10792,8995
CapitalCost20,125800,125081,124362,123643,122924,122205,121486,120767,120048,119329,118610,117891,117172,116453,115734,115015,114296,113577,112858,112139,111420,110701,109982,109263,108544,107825,107106,106387,105668,104949,104230,103511,102792,102073,101354,100635,99916,99197,98478,97759,97040,96321,95602,94883,94164,93445,92726,92007,91288,90569,89850,89131,88412,87693,86974,86255,85536,84817,84098,83379,82660,81941,81222,80503,79784,79065
